PlayerName,Runs,BallsFaced,Sixes,Matches_Batting,Fours,StrikeRate,Wickets,Economy,Overs,Matches_Bowling,PerformanceScore
DJM Short,115.0,99.0,5.0,7.0,11.0,116.16161616161615,1.0,6.333333333333333,3.0,2.0,30.75
DL Chahar,80.0,59.0,6.0,12.0,2.0,135.59322033898303,77.0,7.984421809466746,278.1666666666667,81.0,1929.0
DL Vettori,121.0,113.0,2.0,16.0,11.0,107.07964601769913,28.0,6.787644787644788,129.5,34.0,706.05
DM Bravo,6.0,5.0,0.0,1.0,1.0,120.0,0.0,0.0,0.0,0.0,0.30000000000000004
DNT Zoysa,11.0,9.0,0.0,2.0,1.0,122.22222222222223,2.0,9.0,11.0,3.0,50.55
DP Conway,924.0,654.0,30.0,22.0,100.0,141.28440366972478,0.0,0.0,0.0,0.0,46.2
DP Nannes,4.0,13.0,0.0,2.0,0.0,30.76923076923077,28.0,7.291021671826625,107.66666666666667,29.0,700.2
DP Vijaykumar,1.0,1.0,0.0,1.0,0.0,100.0,4.0,7.855263157894737,25.333333333333332,9.0,100.05
DPMD Jayawardene,1808.0,1464.0,40.0,78.0,200.0,123.49726775956285,0.0,0.0,0.0,0.0,90.4
DR Martyn,19.0,24.0,0.0,1.0,1.0,79.16666666666666,0.0,0.0,0.0,0.0,0.9500000000000001
DR Sams,44.0,44.0,3.0,13.0,1.0,100.0,14.0,8.716666666666667,60.0,16.0,352.2
DR Shorey,13.0,17.0,1.0,2.0,0.0,76.47058823529412,0.0,0.0,0.0,0.0,0.65
DR Smith,2385.0,1764.0,117.0,88.0,245.0,135.20408163265304,26.0,9.01669758812616,89.83333333333333,46.0,769.25
DS Kulkarni,104.0,108.0,2.0,20.0,7.0,96.29629629629629,86.0,8.306659205372133,297.8333333333333,92.0,2155.2
DS Lehmann,18.0,18.0,0.0,2.0,3.0,100.0,0.0,0.0,0.0,0.0,0.9
DT Christian,460.0,398.0,19.0,41.0,23.0,115.57788944723617,38.0,8.099660249150624,147.16666666666666,49.0,973.0
DT Patil,13.0,13.0,0.0,2.0,1.0,100.0,0.0,0.0,0.0,0.0,0.65
DW Steyn,167.0,160.0,3.0,33.0,14.0,104.375,97.0,6.937671860678276,363.6666666666667,95.0,2433.35
Dhruv Jurel,347.0,229.0,16.0,22.0,29.0,151.528384279476,0.0,0.0,0.0,0.0,17.35
E Lewis,654.0,477.0,36.0,26.0,62.0,137.1069182389937,0.0,0.0,0.0,0.0,32.7
EJG Morgan,1406.0,1148.0,64.0,74.0,112.0,122.47386759581882,0.0,0.0,0.0,0.0,70.3
ER Dwivedi,24.0,14.0,2.0,2.0,2.0,171.42857142857142,0.0,0.0,0.0,0.0,1.2000000000000002
F Behardien,14.0,13.0,0.0,3.0,2.0,107.6923076923077,0.0,0.0,0.0,0.0,0.7000000000000001
F du Plessis,4571.0,3352.0,166.0,138.0,422.0,136.36634844868735,0.0,16.0,1.0,1.0,228.55
FA Allen,14.0,19.0,0.0,3.0,1.0,73.68421052631578,2.0,9.066666666666666,15.0,4.0,50.7
FH Edwards,4.0,5.0,0.0,2.0,0.0,80.0,5.0,6.6000000000000005,23.333333333333332,6.0,125.2
FY Fazal,183.0,173.0,1.0,11.0,22.0,105.78034682080926,0.0,10.0,2.0,2.0,9.15
