PlayerName,SoldPrice,Role,TeamName,Nationality,BasePrice,CappedStatus,AuctionYear,LastName_x,Runs,BallsFaced,Sixes,Matches_Batting,Fours,StrikeRate,Wickets,Economy,Overs,Matches_Bowling,PerformanceScore,LastName_y
Avesh Khan,100000000,Bowler,Lucknow Super Giants,Indian,,Unknown,2022,khan,41.0,25.0,3.0,9.0,3.0,164.0,76.0,8.87191011235955,222.5,62.0,1902.05,khan
Mohsin Khan,2000000,Bowler,Lucknow Super Giants,Indian,,Unknown,2022,khan,25.0,24.0,1.0,5.0,2.0,104.16666666666667,27.0,8.506172839506172,81.0,23.0,676.25,khan
Ishan Kishan,152500000,Wicket Keeper,Mumbai Indians,Indian,,Unknown,2022,kishan,2644.0,1946.0,119.0,99.0,255.0,135.86844809866392,0.0,0.0,0.0,0.0,132.20000000000002,kishan
Anmolpreet Singh,2000000,Batsman,Mumbai Indians,Indian,,Unknown,2022,singh,139.0,115.0,3.0,9.0,19.0,120.8695652173913,0.0,0.0,0.0,0.0,6.95,singh
Basil Thampi,3000000,Bowler,Mumbai Indians,Indian,,Unknown,2022,thampi,32.0,35.0,1.0,7.0,1.0,91.42857142857143,22.0,9.742802303262957,86.83333333333333,25.0,551.6,thampi
Sandeep Sharma,5000000,Bowler,Punjab Kings,Indian,,Unknown,2022,sharma,54.0,70.0,0.0,25.0,4.0,77.14285714285715,137.0,7.885896527285613,470.3333333333333,126.0,3427.7,sharma
Atharva Taide,2000000,All-Rounder,Punjab Kings,Indian,,Unknown,2022,taide,247.0,168.0,8.0,9.0,27.0,147.02380952380955,0.0,24.0,0.16666666666666666,1.0,12.350000000000001,taide
Navdeep Saini,26000000,Bowler,Rajasthan Royals,Indian,,Unknown,2022,saini,33.0,37.0,0.0,7.0,3.0,89.1891891891892,24.0,8.705521472392638,108.66666666666667,31.0,601.65,saini
Dhruv Jurel,2000000,Wicket Keeper,Rajasthan Royals,Indian,,Unknown,2022,jurel,347.0,229.0,16.0,22.0,29.0,151.528384279476,0.0,0.0,0.0,0.0,17.35,jurel
Tejas Baroka,2000000,Bowler,Rajasthan Royals,Indian,,Unknown,2022,baroka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.428571428571429,3.5,1.0,0.0,baroka
Anuj Rawat,34000000,Wicket Keeper,Royal Challengers Bengaluru,Indian,,Unknown,2022,rawat,318.0,267.0,14.0,21.0,26.0,119.10112359550563,0.0,0.0,0.0,0.0,15.9,rawat
Washington Sundar,87500000,All-Rounder,Sunrisers Hyderabad,Indian,,Unknown,2022,sundar,378.0,325.0,9.0,38.0,32.0,116.3076923076923,37.0,7.5426944971537,175.66666666666666,58.0,943.9,sundar
Abhishek Sharma,65000000,All-Rounder,Sunrisers Hyderabad,Indian,,Unknown,2022,sharma,1377.0,887.0,73.0,61.0,128.0,155.24239007891768,11.0,8.644444444444444,45.0,26.0,343.85,sharma
Vishnu Vinod,5000000,Wicket Keeper,Sunrisers Hyderabad,Indian,,Unknown,2022,vinod,56.0,57.0,3.0,6.0,3.0,98.24561403508771,0.0,0.0,0.0,0.0,2.8000000000000003,vinod
Kartik Tyagi,40000000,Bowler,Sunrisers Hyderabad,Indian,,Unknown,2022,tyagi,13.0,16.0,0.0,6.0,1.0,81.25,15.0,10.13744075829384,70.33333333333333,20.0,375.65,tyagi
Fazalhaq Farooqi,5000000,Bowler,Sunrisers Hyderabad,Overseas,,Unknown,2022,farooqi,3.0,13.0,0.0,2.0,0.0,23.076923076923077,6.0,8.960526315789474,25.333333333333332,7.0,150.15,farooqi
Shashank Singh,2000000,All-Rounder,Sunrisers Hyderabad,Indian,,Unknown,2022,singh,423.0,262.0,25.0,19.0,33.0,161.45038167938932,1.0,8.333333333333334,3.0,3.0,46.150000000000006,singh
Mukesh Kumar,55000000,Bowler,Delhi Capitals,Indian,,Unknown,2023,kumar,10.0,18.0,0.0,5.0,0.0,55.55555555555556,25.0,10.436090225563909,66.5,20.0,625.5,kumar
Shivam Mavi,60000000,Bowler,Gujarat Titans,Indian,,Unknown,2023,mavi,51.0,56.0,2.0,11.0,4.0,91.07142857142857,30.0,8.708782742681047,108.16666666666667,32.0,752.55,mavi
Shakib Al Hasan,15000000,All-Rounder,Kolkata Knight Riders,Overseas,,Unknown,2023,hasan,795.0,639.0,21.0,52.0,73.0,124.4131455399061,63.0,7.435309973045822,247.33333333333334,70.0,1614.75,hasan
Mandeep Singh,5000000,Batsman,Kolkata Knight Riders,Indian,,Unknown,2023,singh,1706.0,1388.0,38.0,97.0,176.0,122.91066282420748,0.0,13.0,2.0,2.0,85.30000000000001,singh
Suyash Sharma,2000000,Bowler,Kolkata Knight Riders,Indian,,Unknown,2023,sharma,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.651162790697674,43.0,13.0,250.0,sharma
Swapnil Singh,2000000,All-Rounder,Lucknow Super Giants,Indian,,Unknown,2023,singh,51.0,45.0,3.0,9.0,3.0,113.33333333333333,7.0,8.925925925925926,27.0,14.0,177.55,singh
Yash Thakur,4500000,Bowler,Lucknow Super Giants,Indian,,Unknown,2023,thakur,0.0,0.0,0.0,0.0,0.0,0.0,24.0,10.262376237623764,67.33333333333333,19.0,600.0,thakur
Vishnu Vinod,2000000,Wicket Keeper,Mumbai Indians,Indian,,Unknown,2023,vinod,56.0,57.0,3.0,6.0,3.0,98.24561403508771,0.0,0.0,0.0,0.0,2.8000000000000003,vinod
Shivam Singh,2000000,All-Rounder,Punjab Kings,Indian,,Unknown,2023,singh,2.0,3.0,0.0,1.0,0.0,66.66666666666666,0.0,0.0,0.0,0.0,0.1,singh
Mohit Rathee,2000000,All-Rounder,Punjab Kings,Indian,,Unknown,2023,rathee,1.0,2.0,0.0,1.0,0.0,50.0,0.0,14.5,2.0,1.0,0.05,rathee
Sikandar Raza,5000000,All-Rounder,Punjab Kings,Overseas,,Unknown,2023,raza,182.0,136.0,8.0,9.0,12.0,133.8235294117647,3.0,9.882352941176471,14.166666666666666,7.0,84.1,raza
Sanvir Singh,2000000,All-Rounder,Sunrisers Hyderabad,Indian,,Unknown,2023,singh,25.0,21.0,1.0,5.0,2.0,119.04761904761905,0.0,0.0,0.0,0.0,1.25,singh
Anmolpreet Singh,2000000,Batsman,Sunrisers Hyderabad,Indian,,Unknown,2023,singh,139.0,115.0,3.0,9.0,19.0,120.8695652173913,0.0,0.0,0.0,0.0,6.95,singh
Vivrant Sharma,26000000,All-Rounder,Sunrisers Hyderabad,Indian,,Unknown,2023,sharma,69.0,47.0,2.0,1.0,9.0,146.80851063829786,0.0,12.333333333333334,3.0,2.0,3.45,sharma
Mayank Dagar,18000000,All-Rounder,Sunrisers Hyderabad,Indian,,Unknown,2023,dagar,0.0,1.0,0.0,1.0,0.0,0.0,2.0,8.89051094890511,22.833333333333332,8.0,50.0,dagar
Mustafizur Rahman,20000000,Bowler,Chennai Super Kings,Overseas,,Unknown,2024,rahman,13.0,23.0,1.0,6.0,0.0,56.52173913043478,61.0,8.133949191685913,216.5,57.0,1525.65,rahman
Sameer Rizvi,84000000,Batsman,Chennai Super Kings,Indian,,Unknown,2024,rizvi,51.0,43.0,2.0,5.0,4.0,118.6046511627907,0.0,0.0,0.0,0.0,2.5500000000000003,rizvi
Sumit Kumar,10000000,All-Rounder,Delhi Capitals,Indian,,Unknown,2024,kumar,18.0,24.0,1.0,3.0,2.0,75.0,0.0,11.4,3.3333333333333335,2.0,0.9,kumar
Kumar Kushagra,72000000,Wicket Keeper,Delhi Capitals,Indian,,Unknown,2024,kushagra,3.0,7.0,0.0,3.0,0.0,42.857142857142854,0.0,0.0,0.0,0.0,0.15000000000000002,kushagra
Kartik Tyagi,6000000,Bowler,Gujarat Titans,Indian,,Unknown,2024,tyagi,13.0,16.0,0.0,6.0,1.0,81.25,15.0,10.13744075829384,70.33333333333333,20.0,375.65,tyagi
Azmatullah Omarzai,5000000,All-Rounder,Gujarat Titans,Overseas,,Unknown,2024,omarzai,42.0,33.0,2.0,4.0,2.0,127.27272727272727,4.0,8.857142857142858,21.0,7.0,102.1,omarzai
Mohammad Nabi,15000000,All-Rounder,Mumbai Indians,Overseas,,Unknown,2024,nabi,221.0,152.0,12.0,19.0,18.0,145.39473684210526,15.0,7.438848920863309,69.5,23.0,386.05,nabi
Naman Dhir,2000000,All-Rounder,Mumbai Indians,Indian,,Unknown,2024,dhir,140.0,79.0,10.0,7.0,12.0,177.2151898734177,0.0,11.785714285714285,4.666666666666667,3.0,7.0,dhir
Ashutosh Sharma,2000000,All-Rounder,Punjab Kings,Indian,,Unknown,2024,sharma,189.0,113.0,15.0,9.0,10.0,167.2566371681416,0.0,0.0,0.0,0.0,9.450000000000001,sharma
Swapnil Singh,2000000,All-Rounder,Royal Challengers Bengaluru,Indian,,Unknown,2024,singh,51.0,45.0,3.0,9.0,3.0,113.33333333333333,7.0,8.925925925925926,27.0,14.0,177.55,singh
Akash Singh,2000000,Bowler,Sunrisers Hyderabad,Indian,,Unknown,2024,singh,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.869565217391305,23.0,7.0,125.0,singh
Noor Ahmad,100000000,Unknown,Chennai Super Kings,Overseas,20000000.0,Capped,2025,ahmad,13.0,18.0,0.0,5.0,2.0,72.22222222222221,24.0,8.036585365853659,82.0,23.0,600.65,ahmad
